學校類型,學校代碼,學校名稱,縣市別,"學生宿舍床位數
(床)","自有宿舍床位數
(床)","教職員宿舍單身床位
(床)","教職員宿舍有眷戶數
(戶)",可使用校地-校舍基地(平方公尺),"可使用校地-露天運動場地
(平方公尺)","可使用校地-其他校地
(平方公尺)","無法使用校地
(平方公尺)"
私立大學,1016,銘傳大學,金門縣,160,160,32,0,3843,0,146157,150000
私立大學,1017,實踐大學,新北市,0,0,0,0,0,0,0,340171
私立大學,1017,實踐大學,臺北市,1268,964,0,0,16180,2000,28991,8667
私立大學,1017,實踐大學,高雄市,2238,1383,0,12,21321,2025,198063,0
私立大學,1018,朝陽科技大學,臺中市,3032,988,0,0,14331,23854,625715,0
私立大學,1019,高雄醫學大學,高雄市,1606,1606,0,0,29410,17700,53746,0
私立大學,1019,高雄醫學大學,屏東縣,0,0,0,0,0,0,17711,0
私立大學,1020,南華大學,嘉義縣,3365,2823,160,10,28587,55597,544867,0
私立大學,1021,真理大學,新北市,1078,1078,3,0,18277,36913,36276,0
私立大學,1021,真理大學,臺南市,656,656,42,4,19262,17643,190714,0
私立大學,1021,真理大學,高雄市,0,0,0,0,37,0,0,0
私立大學,1022,大同大學,臺北市,1134,1134,0,0,8254,14240,35401,0
私立大學,1023,南臺科技大學,臺南市,3656,3630,0,0,42082,21830,100686,0
私立大學,1024,崑山科技大學,臺南市,1893,1893,12,0,31905,47686,83210,893
私立大學,1025,嘉南藥理大學,臺南市,4992,4992,0,0,55549,32190,182959,0
私立大學,1026,樹德科技大學,高雄市,3123,3078,84,0,30801,34320,308063,3172
私立大學,1027,慈濟大學,花蓮縣,3346,3346,44,62,86708,60258,482854,0
私立大學,1028,臺北醫學大學,臺北市,867,810,0,0,27307,12170,32090,2290
私立大學,1029,中山醫學大學,臺中市,1577,1577,18,0,24711,21678,45673,37
私立大學,1029,中山醫學大學,苗栗縣,0,0,0,0,0,0,0,418028
私立大學,1030,龍華科技大學,桃園市,1452,1268,0,0,17027,4145,49683,0
私立大學,1031,輔英科技大學,高雄市,2455,2455,21,7,29064,42759,98821,2184
私立大學,1032,明新科技大學,新竹縣,2171,2171,103,0,42195,45270,145201,0
私立大學,1033,長榮大學,臺南市,2992,2992,70,0,31578,37046,205091,0
私立大學,1034,弘光科技大學,臺中市,520,364,0,0,22573,18942,57599,0
私立大學,1035,中國醫藥大學,臺中市,415,415,0,0,9763,3114,18565,161189
私立大學,1035,中國醫藥大學,雲林縣,664,664,0,0,3043,2160,13520,0
私立大學,1036,健行科技大學,桃園市,1520,1496,3,0,17431,7180,24136,0
私立大學,1037,正修科技大學,高雄市,1721,956,0,0,40060,9026,39684,0
私立大學,1038,萬能科技大學,桃園市,2220,1900,0,0,17075,21300,52385,0
私立大學,1039,玄奘大學,新竹市,1254,1254,31,0,20409,17970,126942,0
私立大學,1040,建國科技大學,彰化縣,1082,554,0,0,18276,14608,64743,0
私立大學,1041,明志科技大學,新北市,2847,2847,26,140,22479,38210,558342,0
私立大學,1042,高苑科技大學,高雄市,1542,1542,0,0,27610,28338,53969,0
私立大學,1043,大仁科技大學,屏東縣,1302,1302,0,0,23927,31997,242765,0
私立大學,1044,聖約翰科技大學,新北市,1148,1148,0,1,21861,23341,67191,0
私立大學,1045,嶺東科技大學,臺中市,1348,1348,0,0,19935,18657,161562,0
私立大學,1046,中國科技大學,臺北市,0,0,0,0,10571,8674,34894,0
私立大學,1046,中國科技大學,新竹縣,1274,1274,51,0,11590,17162,112877,0
私立大學,1047,中臺科技大學,臺中市,1115,1115,15,6,18695,10072,69121,0
私立大學,1048,亞洲大學,臺中市,4396,4396,0,0,31904,18669,216496,0
私立大學,1049,開南大學,桃園市,1638,1638,0,0,21109,29898,90340,19045
私立大學,1050,佛光大學,宜蘭縣,1977,1050,79,93,25792,10400,218879,323178
私立大學,1051,台南應用科技大學,臺南市,1628,1316,7,0,32582,31621,80162,0
私立大學,1052,遠東科技大學,臺南市,2017,2017,0,0,26064,16620,77952,0
私立大學,1053,元培醫事科技大學,新竹市,1327,541,0,0,44606,14219,22503,44696
私立大學,1054,景文科技大學,新北市,1198,1198,0,0,14494,25243,76454,0
私立大學,1055,中華醫事科技大學,臺南市,2287,2252,0,0,20967,11325,59709,0
私立大學,1056,東南科技大學,新北市,897,897,5,0,14535,10446,84270,0
私立大學,1057,德明財經科技大學,臺北市,750,608,2,0,37840,11855,11137,0
私立大學,1058,明道大學,彰化縣,2086,918,6,18,22757,59316,329205,0
私立大學,1060,南開科技大學,南投縣,880,880,0,0,14872,13055,64103,0
私立大學,1061,中華科技大學,臺北市,502,502,0,0,21529,5600,27018,0
私立大學,1061,中華科技大學,新竹縣,355,310,10,0,16066,4423,1000,66281
私立大學,1061,中華科技大學,雲林縣,115,0,6,0,2935,3124,284516,5453
私立大學,1062,僑光科技大學,臺中市,873,873,0,0,14966,7959,34337,0
私立大學,1063,育達科技大學,新北市,0,0,0,0,79034,0,0,0
私立大學,1063,育達科技大學,苗栗縣,1172,1172,76,23,47627,21428,50596,0
私立大學,1064,美和科技大學,屏東縣,877,877,0,0,15248,4951,30375,0
私立大學,1065,吳鳳科技大學,嘉義縣,1288,1288,4,1,25889,28320,78647,0
私立大學,1066,環球科技大學,雲林縣,1020,1019,8,16,25408,34351,238704,0
私立大學,1067,台灣首府大學,臺南市,1788,1788,22,0,15360,10200,83702,56025
私立大學,1068,中州科技大學,彰化縣,984,966,0,0,13917,4348,41682,0
私立大學,1069,修平科技大學,臺中市,1035,1035,0,0,17433,12372,66227,0
私立大學,1070,長庚科技大學,桃園市,5044,5044,104,0,30826,20886,87334,0
私立大學,1070,長庚科技大學,嘉義縣,2020,2020,0,0,21863,12415,121938,0
私立大學,1071,臺北城市科技大學,臺北市,1388,1370,0,0,27035,9689,50260,0
私立大學,1072,大華科技大學,新竹縣,1167,700,0,0,18451,7113,77672,45674
私立大學,1073,醒吾科技大學,新北市,833,833,0,0,14737,16500,24525,0
私立大學,1074,南榮科技大學,臺南市,780,780,0,1,19133,10254,42757,0
私立大學,1075,文藻外語大學,高雄市,740,740,34,4,20687,28240,7943,0
私立大學,1076,華夏科技大學,新北市,468,0,32,1,10634,1457,47555,0
私立大學,1077,慈濟科技大學,花蓮縣,2363,2363,47,10,16681,16992,176376,0
私立大學,1078,致理科技大學,新北市,594,594,0,0,9785,30265,20206,0
私立大學,1079,康寧大學,臺北市,955,955,0,0,6395,770,14011,52405
私立大學,1079,康寧大學,臺南市,1958,1958,116,0,13562,52162,125963,0
私立大學,1080,宏國德霖科技大學,新北市,434,400,0,0,19089,13206,90149,3216
私立大學,1081,東方設計大學,高雄市,595,595,0,0,15342,22582,52220,0
私立大學,1082,崇右影藝科技大學,新北市,0,0,0,0,0,0,0,202726
私立大學,1082,崇右影藝科技大學,基隆市,493,493,0,0,37095,12100,934,0
私立大學,1083,台北海洋科技大學,新北市,788,788,0,0,10483,1296,29292,0
私立大學,1083,台北海洋科技大學,臺北市,302,302,0,0,8775,6608,18881,0
私立學院,1125,中信金融管理學院,臺南市,676,676,49,0,13624,75000,166307,10326
私立學院,1148,大漢技術學院,花蓮縣,1352,243,12,0,20644,73443,94965,0
私立學院,1159,和春技術學院,高雄市,928,928,10,0,33297,19674,59526,0
私立學院,1166,亞東技術學院,新北市,94,94,4,4,9956,6409,36456,5638
私立學院,1168,南亞技術學院,桃園市,553,553,0,0,13510,14120,22403,0
私立學院,1176,稻江科技暨管理學院,嘉義縣,1260,1260,96,0,18012,47800,285241,0
私立學院,1182,蘭陽技術學院,宜蘭縣,976,738,0,0,18780,14387,44649,4484
私立學院,1183,黎明技術學院,新北市,699,699,0,0,50525,11192,13512,0
私立學院,1185,經國管理暨健康學院,基隆市,859,682,0,0,8712,12000,100963,0
私立學院,1188,大同技術學院,嘉義縣,433,433,0,0,4787,47401,45991,0
私立學院,1188,大同技術學院,嘉義市,396,396,16,0,7432,1980,14897,0
私立學院,1192,臺灣觀光學院,花蓮縣,593,593,36,0,8382,24651,107307,0
私立學院,1195,馬偕醫學院,新北市,688,688,9,3,14425,11726,166085,0
私立學院,1196,法鼓文理學院,新北市,496,496,136,9,135451,21956,63563,78143
私立學院,1196,法鼓文理學院,臺北市,0,0,0,0,529,0,0,0
私立專科,1282,馬偕醫護管理專科學校,新北市,1148,1148,3,0,7523,4349,73776,37084
私立專科,1282,馬偕醫護管理專科學校,臺北市,712,712,0,0,5200,814,8530,3
私立專科,1283,仁德醫護管理專科學校,苗栗縣,2365,2365,0,0,18603,7671,34512,0
私立專科,1284,樹人醫護管理專科學校,高雄市,1376,1376,8,2,17703,22834,107558,0
私立專科,1285,慈惠醫護管理專科學校,屏東縣,976,594,6,0,11670,35881,148324,0
私立專科,1286,耕莘健康管理專科學校,新北市,858,858,9,0,4908,3211,11756,0
私立專科,1286,耕莘健康管理專科學校,宜蘭縣,1916,1816,20,0,12778,17645,64195,0
私立專科,1286,耕莘健康管理專科學校,基隆市,0,0,0,0,0,0,53630,0
私立專科,1287,敏惠醫護管理專科學校,臺南市,1118,1118,0,0,29661,3327,77359,12589
私立專科,1289,育英醫護管理專科學校,高雄市,240,240,0,0,4523,6359,63609,0
私立專科,1291,聖母醫護管理專科學校,宜蘭縣,1086,1076,0,0,9352,3241,29179,0
私立專科,1292,新生醫護管理專科學校,桃園市,1766,1766,0,0,27676,7780,78551,0
私立專科,1293,崇仁醫護管理專科學校,嘉義縣,724,724,0,0,5868,5720,86412,0
私立專科,1293,崇仁醫護管理專科學校,嘉義市,297,297,0,0,3022,4712,15481,0
市立大學,3002,臺北市立大學,臺北市,1690,1690,0,0,34182,1223472,61678,0
宗教研修,1R02,基督教台灣浸會神學院,臺北市,64,64,0,8,13442,0,10658,0
宗教研修,1R03,臺北基督學院,新北市,1070,1070,14,11,7027,3925,26794,0
宗教研修,1R04,一貫道天皇學院,高雄市,0,0,0,0,10525,0,17185,14201
宗教研修,1R05,台灣神學研究學院,臺北市,213,213,9,44,5460,608,59123,0
宗教研修,1R06,一貫道崇德學院,南投縣,0,0,0,0,4100,0,15000,1441
宗教研修,1R07,台灣基督長老教會南神神學院,臺南市,90,0,10,11,28149,0,0,0
